param,runTime
5,59745
5,32945
5,27792
5,27856
5,27945
5,26817
5,58255
5,27688
5,27148
5,26919
10,88946
10,57911
10,57819
10,57639
10,63293
10,90720
10,90656
10,71739
10,93004
10,91132
20,143763
20,140964
20,115419
20,148247
20,147645
20,147070
20,148658
20,147540
20,147219
20,147104
50,287876
50,288050
50,321484
50,288237
50,319250
50,325071
50,319763
50,320004
50,287894
50,288641
100,609358
100,606826
100,609435
100,576946
100,608181
100,611719
100,609650
100,576781
100,605059
100,609445
200,1183315
200,1186881
200,1171814
200,1150450
200,1152569
200,1159825
200,1172682
200,1158259
200,1169653
200,1160621
500,2893292
500,2918782
500,2906093
500,2893172
500,2903365
500,2892916
500,2895941
500,2891424
500,2906483
500,2895635
